folder,table,variable,description
PlatformData,problems,problem_id,Unique identifier of the problem
PlatformData,problems,problem,Short title of the problem
PlatformData,problems,description,
PlatformData,problems,start_date,
PlatformData,problems,due_date,
PlatformData,problems,problem_text,A unique filename of the problem content in markdown text format
PlatformData,problems,problem_file,A unique filename in the 'Problems' subfolder that contains the HTML file of the problem
PlatformData,problems,problem_template,
PlatformData,problems,exercise,
PlatformData,analytics,team,Name of team the user is in
PlatformData,analytics,team_id,Unique identifier of the team the user is in
PlatformData,analytics,problem_id,Unique identifier of the problem the team is working on
PlatformData,analytics,user,Name of user
PlatformData,analytics,user_id,Unique identifier of user
PlatformData,analytics,report_count,Number of reports user contributed to problem
PlatformData,analytics,resource_count,Number of resources user contributed to problem 
PlatformData,analytics,comment_count,Number of comments user contributed in a problem
PlatformData,analytics,chat_count,Number of chat messages user contributed in a problem
PlatformData,analytics,comment_vote_count,Number of comment upvotes user contributed in a problem
PlatformData,analytics,resource_vote_count,Number of resource upvotes user contributed in a problem
PlatformData,analytics,simple_rating,Number of times a user contributed a simple (single number) rating
PlatformData,analytics,partial_rating,Number of times a user contributed a partial (some of the rubrics) rating
PlatformData,analytics,complete_rating,Number of times a user contributed a complete (all rubrics) rating
PlatformData,analytics,problem,Title of the problem
PlatformData,analytics,engagement,"Engagement score calculated as a weighted sum of the various activity counts for the user on this problem. Reports have weight 7; resources and complete ratings have weight 3; comments have weight 2; chat messages, simple ratings, partial ratings, comment votes and resource votes have weight 1."
PlatformData,analytics,report_count_scaled,"Number of reports user contributed to problem, scaled (within this platform instance) to range between 0 and 1"
PlatformData,analytics,resource_count_scaled,"Number of resources user contributed to problem, scaled (within this platform instance) to range between 0 and 1"
PlatformData,analytics,comment_count_scaled,"Number of comments user contributed in a problem, scaled (within this platform instance) to range between 0 and 1"
PlatformData,analytics,chat_count_scaled,"Number of chat messages user contributed in a problem, scaled (within this platform instance) to range between 0 and 1"
PlatformData,analytics,comment_vote_count_scaled,"Number of comment upvotes user contributed in a problem, scaled (within this platform instance) to range between 0 and 1"
PlatformData,analytics,resource_vote_count_scaled,"Number of resource upvotes user contributed in a problem, scaled (within this platform instance) to range between 0 and 1"
PlatformData,analytics,simple_rating_scaled,"Number of times a user contributed a simple (single number) rating, scaled (within this platform instance) to range between 0 and 1"
PlatformData,analytics,partial_rating_scaled,"Number of times a user contributed a partial (some of the rubrics) rating, scaled (within this platform instance) to range between 0 and 1"
PlatformData,analytics,complete_rating_scaled,"Number of times a user contributed a complete (all rubrics) rating, scaled (within this platform instance) to range between 0 and 1"
PlatformData,analytics,engagement_scaled,"Engagement score calculated as a weighted sum of the various scaled activity counts for the user on this problem. Reports have weight 7; resources and complete ratings have weight 3; comments have weight 2; chat messages, simple ratings, partial ratings, comment votes and resource votes have weight 1."
PlatformData,analytics,vote_count,comment_vote_count + resource_vote_count
PlatformData,analytics,quick_rating,simple_rating + partial_rating
PlatformData,authors,problem_id,Unique identifier of the problem
PlatformData,authors,team_id,Unique identifier for the team that produced the report
PlatformData,authors,team,Name of the team that produced the report
PlatformData,authors,response_id,Unique identifier for the a response
PlatformData,authors,user_id,Unique identifier of a user who (co-)authored the response
PlatformData,authors,user,The screen name of the (co-)author (at the time of response or comment creation)
PlatformData,authors,problem,Short title of the problem
PlatformData,chat,id,Unique identifier of the chat message
PlatformData,chat,problem_id,Unique identifier of the problem
PlatformData,chat,created_at,Timestamp when the comment was first created
PlatformData,chat,user,Name of the author of the chat message
PlatformData,chat,chat_id,Another unique (within this platform instance) identifier of the chat message
PlatformData,chat,chat_text,The comment content in plain text format
PlatformData,chat,user_id,Unique identifier of the author of the chat message
PlatformData,chat,team_id,Unique identifier for the team that produced the report
PlatformData,chat,team,Name of the team the author of the chat message was in
PlatformData,chat,problem,Short title of the problem
PlatformData,comments,problem_id,Unique identifier of the problem
PlatformData,comments,team_id,Unique identifier for the team that produced the report
PlatformData,comments,team,Name of the team that produced the report
PlatformData,comments,response_id,Unique identifier for the a response
PlatformData,comments,author_id,Unique identifier of the original author of the response
PlatformData,comments,author,Name of the orginal author of the response
PlatformData,comments,comment_id,Unique identifier for the comment
PlatformData,comments,commenter_id,Unique identifier of a user who created the comment
PlatformData,comments,commenter_name,Name of the commenter
PlatformData,comments,time_created,Timestamp when the comment was first created
PlatformData,comments,time_last_changed,Timestamp when the comment was last updated
PlatformData,comments,comment_text,A unique filename of the comment content in markdown text format
PlatformData,comments,comment_file,A unique filename in the 'Comments' subfolder that contains the HTML file of the comment
PlatformData,comments,problem,Short title of the problem
PlatformData,login,user_id,Unique identifier of the user who logs in/out
PlatformData,login,user,Name of user who logs in/out
